,name,id,firstReleaseDate,tier,topCriticScore,images.box.og,images.box.sm,images.banner.og,images.banner.sm
0,Final Fantasy VII Rebirth,15136,2024-02-29T00:00:00.000Z,Mighty,93,game/15136/o/Jb5ouFD8.jpg,game/15136/ajFPmCb2.jpg,game/15136/o/lNZ6cYSc.jpg,game/15136/iTX8SNU3.jpg
1,Balatro,16300,2024-02-20T00:00:00.000Z,Mighty,92,game/16300/o/G7F2TGxX.jpg,game/16300/MjhOYlnM.jpg,game/undefined/o/SQabiNCo.jpg,game/undefined/uBbUmgTM.jpg
2,Tekken 8,15734,2024-01-25T00:00:00.000Z,Mighty,90,game/15734/o/lyqq6YEx.jpg,game/15734/VCkOarU0.jpg,game/15734/o/HwKBuYw8.jpg,game/15734/4Sx3Oox2.jpg
3,Like A Dragon: Infinite Wealth,15906,2024-01-26T00:00:00.000Z,Mighty,90,game/15906/o/ZM7a2GrE.jpg,game/15906/CseB9yEE.jpg,game/15906/o/c4Cz2toH.jpg,game/15906/rFTQram7.jpg
4,Solium Infernum,16336,2024-02-22T00:00:00.000Z,Mighty,88,,,game/16336/o/YGEtBIR8.jpg,game/16336/93wiJh5B.jpg
5,Unicorn Overlord,16408,2024-03-08T00:00:00.000Z,Mighty,88,game/16408/o/ooJ1gCco.jpg,game/16408/hSIbjSyh.jpg,game/16408/o/liGLLCnf.jpg,game/16408/cOFOXUyc.jpg
6,Persona 3 Reload,16094,2024-02-02T00:00:00.000Z,Mighty,88,game/16094/o/Bq605JYt.jpg,game/16094/3ZcRWbq4.jpg,game/16094/o/inaLVPg4.jpg,game/16094/o9HarGcE.jpg
7,Dragon's Dogma 2,16051,2024-03-22T00:00:00.000Z,Mighty,87,game/16051/o/aosx8uw2.jpg,game/16051/lpxbeSmw.jpg,game/16051/o/aALeoXxz.jpg,game/16051/MnI6h5EA.jpg
8,Prince of Persia: The Lost Crown,15867,2024-01-18T00:00:00.000Z,Mighty,87,game/15867/o/1bAeS3pm.jpg,game/15867/2A09cjgQ.jpg,game/15867/o/yafN7Fgw.jpg,game/15867/sY7LJx31.jpg
9,Minishoot' Adventures,16527,2024-04-02T00:00:00.000Z,Mighty,86,game/16527/o/8H3qeUHP.jpg,game/16527/m0MXcKJ3.jpg,,
10,Lil Guardsman,16104,2024-01-23T00:00:00.000Z,Mighty,84,game/undefined/o/5LR7h8fA.jpg,game/undefined/0TkhX5sP.jpg,game/16104/o/pD7COXFk.jpg,game/16104/yXlA34LR.jpg
11,Anomaly Agent,16108,2024-01-24T00:00:00.000Z,Mighty,84,game/16108/o/WchHfPYl.jpg,game/16108/5UuLKEut.jpg,game/16108/o/nYM4V4Fr.jpg,game/16108/42Y5amxb.jpg
